,topic,term,beta
1,1,apple,0.031825011
2,1,foods,0.026231291
3,1,water,0.043718818
4,2,add,0.023255814
5,2,cant,0.023255814
6,2,daily,0.023255814
7,2,dairy,0.023255814
8,2,gentle,0.023255814
9,2,greens,0.023255814
10,2,leafy,0.023255814
11,2,maps,0.023255814
12,2,skin,0.034883721
13,2,sugar,0.023255814
14,2,twice,0.023255814
15,2,vitamin,0.023255814
16,3,breakouts,0.026315789
17,3,cheeks,0.026315789
18,3,experience,0.026315789
19,3,oil,0.026315789
20,3,sleeping,0.026315789
21,4,face,0.03539823
22,4,juice,0.03539823
23,4,lemon,0.03539823
24,4,tanning,0.03539823
25,5,good,0.030727387
26,5,lemon,0.02688532
27,5,topical,0.030727387
28,6,acne,0.029126214
29,6,banish,0.029126214
30,6,foods,0.019417476
31,6,good,0.019417476
32,6,heard,0.019417476
33,6,scars,0.019417476
34,6,supplements,0.019417476
35,6,take,0.019417476
36,6,try,0.019417476
37,6,want,0.019417476
38,6,wish,0.019417476
