"","favorited","favoriteCount","replyToSN","created","truncated","replyToSID","id","replyToUID","statusSource","screenName","retweetCount","isRetweet","retweeted","longitude","latitude","word","score"
"1",FALSE,0,NA,2017-11-14 20:30:36,FALSE,NA,"930533444261625856",NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","crankywanderer",1,TRUE,FALSE,NA,NA,"good",3
"2",FALSE,0,NA,2017-11-14 20:30:36,FALSE,NA,"930533444261625856",NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","crankywanderer",1,TRUE,FALSE,NA,NA,"cleared",1
"3",FALSE,0,NA,2017-11-14 20:30:36,FALSE,NA,"930533444261625856",NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","crankywanderer",1,TRUE,FALSE,NA,NA,"good",3
"4",FALSE,0,"bellathorne",2017-11-14 20:30:31,FALSE,"930239910849609728","930533422551982081","48177728","<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>","abeermmalik",0,FALSE,FALSE,NA,NA,"missing",-2
"5",FALSE,0,NA,2017-11-14 20:30:28,FALSE,NA,"930533411923681281",NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","Boss_NKordei",282,TRUE,FALSE,NA,NA,"like",2
"6",FALSE,0,NA,2017-11-14 20:30:28,FALSE,NA,"930533411923681281",NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","Boss_NKordei",282,TRUE,FALSE,NA,NA,"ass",-4
"7",FALSE,0,NA,2017-11-14 20:30:28,FALSE,NA,"930533411923681281",NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","Boss_NKordei",282,TRUE,FALSE,NA,NA,"fucking",-4
"8",FALSE,0,NA,2017-11-14 20:30:04,TRUE,NA,"930533310186577926",NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","zigamucave",0,FALSE,FALSE,NA,NA,"ha",2
"9",FALSE,0,NA,2017-11-14 20:29:57,FALSE,NA,"930533282965479425",NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","ledesmakareli",282,TRUE,FALSE,NA,NA,"like",2
"10",FALSE,0,NA,2017-11-14 20:29:57,FALSE,NA,"930533282965479425",NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","ledesmakareli",282,TRUE,FALSE,NA,NA,"ass",-4
"11",FALSE,0,NA,2017-11-14 20:29:57,FALSE,NA,"930533282965479425",NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","ledesmakareli",282,TRUE,FALSE,NA,NA,"fucking",-4
"12",FALSE,0,NA,2017-11-14 20:29:48,FALSE,NA,"930533243115405312",NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","thirlagb",282,TRUE,FALSE,NA,NA,"like",2
"13",FALSE,0,NA,2017-11-14 20:29:48,FALSE,NA,"930533243115405312",NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","thirlagb",282,TRUE,FALSE,NA,NA,"ass",-4
"14",FALSE,0,NA,2017-11-14 20:29:48,FALSE,NA,"930533243115405312",NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","thirlagb",282,TRUE,FALSE,NA,NA,"fucking",-4
"15",FALSE,0,NA,2017-11-14 20:29:36,FALSE,NA,"930533194893529088",NA,"<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>","paginaskinner",0,FALSE,FALSE,NA,NA,"clear",1
"16",FALSE,0,NA,2017-11-14 20:29:27,FALSE,NA,"930533154103930880",NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","shutupmya",21,TRUE,FALSE,NA,NA,"love",3
"17",FALSE,0,NA,2017-11-14 20:29:22,FALSE,NA,"930533133950373889",NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","FalafelLord",0,FALSE,FALSE,NA,NA,"hard",-1
"18",FALSE,0,NA,2017-11-14 20:29:22,FALSE,NA,"930533133950373889",NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","FalafelLord",0,FALSE,FALSE,NA,NA,"shit",-4
"19",FALSE,0,NA,2017-11-14 20:29:09,TRUE,NA,"930533078929375238",NA,"<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>","desk2017",0,FALSE,FALSE,NA,NA,"best",3
"20",FALSE,0,NA,2017-11-14 20:29:09,TRUE,NA,"930533078929375238",NA,"<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>","desk2017",0,FALSE,FALSE,NA,NA,"benefits",2
